model_name,dataset,num_seeds,closed_acc_mean,closed_acc_std,closed_acc_ci_low,closed_acc_ci_high,open_acc_mean,open_acc_std,open_acc_ci_low,open_acc_ci_high,overall_acc_mean,overall_acc_std,overall_acc_ci_low,overall_acc_ci_high,open_bertscore_f1_mean,open_bertscore_f1_std,open_bertscore_accuracy_mean,open_bertscore_accuracy_std,avg_time_ms_mean,avg_time_ms_std,peak_vram_mb
gemma4-e2b,pathvqa,1,0.1511,0.0,0.1392,0.1636,0.0503,0.0,0.0429,0.0578,0.1008,0.0,0.0936,0.1079,0.8069,0.0,1.0,0.0,697.1,0.0,13932.7
gemma4-e2b,slake,1,0.6197,0.0,0.569,0.6704,0.4207,0.0,0.3839,0.4575,0.4873,0.0,0.4571,0.5174,0.8674,0.0,1.0,0.0,522.4,0.0,13927.3
gemma4-e2b,vqa_rad,1,0.3068,0.0,0.2509,0.3625,0.315,0.0,0.255,0.38,0.3104,0.0,0.2683,0.3548,0.8377,0.0,1.0,0.0,535.4,0.0,13929.1
qwen25-vl-3b,pathvqa,1,0.6121,0.0,0.5955,0.6288,0.0357,0.0,0.0295,0.042,0.3242,0.0,0.3131,0.3353,0.8612,0.0,1.0,0.0,184.5,0.0,7984.4
qwen25-vl-3b,slake,1,0.7493,0.0,0.7014,0.7944,0.4646,0.0,0.4278,0.5,0.5598,0.0,0.5287,0.5891,0.9362,0.0,1.0,0.0,102.3,0.0,7952.4
qwen25-vl-3b,vqa_rad,1,0.6614,0.0,0.6016,0.7171,0.28,0.0,0.22,0.345,0.4922,0.0,0.4457,0.5388,0.8885,0.0,1.0,0.0,129.1,0.0,7975.0
qwen3-vl-2b,pathvqa,1,0.6353,0.0,0.6193,0.6511,0.0602,0.0,0.0518,0.0682,0.348,0.0,0.3368,0.3591,0.8487,0.0,1.0,0.0,175.1,0.0,4830.3
qwen3-vl-2b,slake,1,0.7915,0.0,0.7493,0.8338,0.4575,0.0,0.4221,0.4943,0.5693,0.0,0.5391,0.5985,0.9081,0.0,1.0,0.0,144.1,0.0,4750.5
qwen3-vl-2b,vqa_rad,1,0.7211,0.0,0.6653,0.7769,0.225,0.0,0.17,0.285,0.5011,0.0,0.4545,0.5477,0.8896,0.0,1.0,0.0,119.2,0.0,4781.8
smolvlm2-2b,pathvqa,1,0.5877,0.0,0.5711,0.6044,0.0277,0.0,0.022,0.0334,0.3079,0.0,0.2971,0.3188,0.8558,0.0,1.0,0.0,273.9,0.0,7744.3
smolvlm2-2b,slake,1,0.662,0.0,0.6113,0.7127,0.3612,0.0,0.3258,0.3966,0.4618,0.0,0.4317,0.492,0.913,0.0,1.0,0.0,322.9,0.0,7686.8
smolvlm2-2b,vqa_rad,1,0.6653,0.0,0.6056,0.7251,0.32,0.0,0.255,0.385,0.5122,0.0,0.4656,0.5588,0.9037,0.0,1.0,0.0,345.7,0.0,7696.9
