model_name,train_dataset,eval_dataset,seed,base_accuracy,finetuned_accuracy,change_pct
gemma4-e2b,pathvqa,slake,42,0.4873,0.448,-8.06
gemma4-e2b,pathvqa,vqa_rad,42,0.3104,0.3747,20.72
gemma4-e2b,pathvqa,slake,123,0.4873,0.476,-2.32
gemma4-e2b,pathvqa,vqa_rad,123,0.3104,0.4146,33.57
gemma4-e2b,pathvqa,slake,456,0.4873,0.564,15.74
gemma4-e2b,pathvqa,vqa_rad,456,0.3104,0.4279,37.85
gemma4-e2b,slake,pathvqa,42,0.1008,0.286,183.73
gemma4-e2b,slake,vqa_rad,42,0.3104,0.4545,46.42
gemma4-e2b,slake,pathvqa,123,0.1008,0.308,205.56
gemma4-e2b,slake,vqa_rad,123,0.3104,0.4723,52.16
gemma4-e2b,slake,pathvqa,456,0.1008,0.3,197.62
gemma4-e2b,slake,vqa_rad,456,0.3104,0.4723,52.16
gemma4-e2b,vqa_rad,pathvqa,42,0.1008,0.248,146.03
gemma4-e2b,vqa_rad,slake,42,0.4873,0.496,1.79
gemma4-e2b,vqa_rad,pathvqa,123,0.1008,0.28,177.78
gemma4-e2b,vqa_rad,slake,123,0.4873,0.468,-3.96
gemma4-e2b,vqa_rad,pathvqa,456,0.1008,0.27,167.86
gemma4-e2b,vqa_rad,slake,456,0.4873,0.518,6.3
qwen25-vl-3b,pathvqa,slake,42,0.5598,0.562,0.39
qwen25-vl-3b,pathvqa,vqa_rad,42,0.4922,0.4701,-4.49
qwen25-vl-3b,pathvqa,slake,123,0.5598,0.564,0.75
qwen25-vl-3b,pathvqa,vqa_rad,123,0.4922,0.4656,-5.4
qwen25-vl-3b,pathvqa,slake,456,0.5598,0.564,0.75
qwen25-vl-3b,pathvqa,vqa_rad,456,0.4922,0.4745,-3.6
qwen25-vl-3b,slake,pathvqa,42,0.3242,0.346,6.72
qwen25-vl-3b,slake,vqa_rad,42,0.4922,0.4789,-2.7
qwen25-vl-3b,slake,pathvqa,123,0.3242,0.346,6.72
qwen25-vl-3b,slake,vqa_rad,123,0.4922,0.4878,-0.89
qwen25-vl-3b,slake,pathvqa,456,0.3242,0.336,3.64
qwen25-vl-3b,slake,vqa_rad,456,0.4922,0.4701,-4.49
qwen25-vl-3b,vqa_rad,pathvqa,42,0.3242,0.312,-3.76
qwen25-vl-3b,vqa_rad,slake,42,0.5598,0.604,7.9
qwen25-vl-3b,vqa_rad,pathvqa,123,0.3242,0.308,-5.0
qwen25-vl-3b,vqa_rad,slake,123,0.5598,0.602,7.54
qwen25-vl-3b,vqa_rad,pathvqa,456,0.3242,0.31,-4.38
qwen25-vl-3b,vqa_rad,slake,456,0.5598,0.6,7.18
qwen3-vl-2b,pathvqa,slake,42,0.5693,0.46,-19.2
qwen3-vl-2b,pathvqa,vqa_rad,42,0.5011,0.4479,-10.62
qwen3-vl-2b,pathvqa,slake,123,0.5693,0.462,-18.85
qwen3-vl-2b,pathvqa,vqa_rad,123,0.5011,0.4523,-9.74
qwen3-vl-2b,pathvqa,slake,456,0.5693,0.46,-19.2
qwen3-vl-2b,pathvqa,vqa_rad,456,0.5011,0.4501,-10.18
qwen3-vl-2b,slake,pathvqa,42,0.348,0.334,-4.02
qwen3-vl-2b,slake,vqa_rad,42,0.5011,0.4102,-18.14
qwen3-vl-2b,slake,pathvqa,123,0.348,0.332,-4.6
qwen3-vl-2b,slake,vqa_rad,123,0.5011,0.4035,-19.48
qwen3-vl-2b,slake,pathvqa,456,0.348,0.338,-2.87
qwen3-vl-2b,slake,vqa_rad,456,0.5011,0.4035,-19.48
qwen3-vl-2b,vqa_rad,pathvqa,42,0.348,0.306,-12.07
qwen3-vl-2b,vqa_rad,slake,42,0.5693,0.608,6.8
qwen3-vl-2b,vqa_rad,pathvqa,123,0.348,0.314,-9.77
qwen3-vl-2b,vqa_rad,slake,123,0.5693,0.608,6.8
qwen3-vl-2b,vqa_rad,pathvqa,456,0.348,0.306,-12.07
qwen3-vl-2b,vqa_rad,slake,456,0.5693,0.606,6.45
smolvlm2-2b,pathvqa,slake,42,0.4618,0.202,-56.26
smolvlm2-2b,pathvqa,vqa_rad,42,0.5122,0.3747,-26.84
smolvlm2-2b,pathvqa,slake,123,0.4618,0.188,-59.29
smolvlm2-2b,pathvqa,vqa_rad,123,0.5122,0.3858,-24.68
smolvlm2-2b,pathvqa,slake,456,0.4618,0.192,-58.42
smolvlm2-2b,pathvqa,vqa_rad,456,0.5122,0.3814,-25.54
smolvlm2-2b,slake,pathvqa,42,0.3079,0.248,-19.45
smolvlm2-2b,slake,vqa_rad,42,0.5122,0.3769,-26.42
smolvlm2-2b,slake,pathvqa,123,0.3079,0.264,-14.26
smolvlm2-2b,slake,vqa_rad,123,0.5122,0.3947,-22.94
smolvlm2-2b,slake,pathvqa,456,0.3079,0.262,-14.91
smolvlm2-2b,slake,vqa_rad,456,0.5122,0.4124,-19.48
smolvlm2-2b,vqa_rad,pathvqa,42,0.3079,0.262,-14.91
smolvlm2-2b,vqa_rad,slake,42,0.4618,0.236,-48.9
smolvlm2-2b,vqa_rad,pathvqa,123,0.3079,0.246,-20.1
smolvlm2-2b,vqa_rad,slake,123,0.4618,0.216,-53.23
smolvlm2-2b,vqa_rad,pathvqa,456,0.3079,0.276,-10.36
smolvlm2-2b,vqa_rad,slake,456,0.4618,0.224,-51.49
