condition,model,dataset,seed,subset_ratio,train_samples,reported_min,runtime_sec,corrected_min
ablation_a_qwen3-vl-2b_pathvqa_ratio0.05_seed123,qwen3-vl-2b,pathvqa,123,0.05,982,28.5,1670.1831,27.8
ablation_a_qwen3-vl-2b_pathvqa_ratio0.05_seed42,qwen3-vl-2b,pathvqa,42,0.05,982,53.9,1631.5391,27.2
ablation_a_qwen3-vl-2b_pathvqa_ratio0.05_seed456,qwen3-vl-2b,pathvqa,456,0.05,982,28.3,1662.0713,27.7
ablation_a_qwen3-vl-2b_pathvqa_ratio0.1_seed123,qwen3-vl-2b,pathvqa,123,0.1,1965,28.7,1695.4981,28.3
ablation_a_qwen3-vl-2b_pathvqa_ratio0.1_seed42,qwen3-vl-2b,pathvqa,42,0.1,1965,65.8,1666.0551,27.8
ablation_a_qwen3-vl-2b_pathvqa_ratio0.1_seed456,qwen3-vl-2b,pathvqa,456,0.1,1965,28.5,1685.1262,28.1
ablation_a_qwen3-vl-2b_pathvqa_ratio0.25_seed123,qwen3-vl-2b,pathvqa,123,0.25,4913,28.8,1699.1513,28.3
ablation_a_qwen3-vl-2b_pathvqa_ratio0.25_seed42,qwen3-vl-2b,pathvqa,42,0.25,4913,122.5,1685.8703,28.1
ablation_a_qwen3-vl-2b_pathvqa_ratio0.25_seed456,qwen3-vl-2b,pathvqa,456,0.25,4913,29.3,1728.2267,28.8
ablation_a_qwen3-vl-2b_pathvqa_ratio0.5_seed123,qwen3-vl-2b,pathvqa,123,0.5,9827,29.1,1719.4078,28.7
ablation_a_qwen3-vl-2b_pathvqa_ratio0.5_seed42,qwen3-vl-2b,pathvqa,42,0.5,9827,206.2,1697.1177,28.3
ablation_a_qwen3-vl-2b_pathvqa_ratio0.5_seed456,qwen3-vl-2b,pathvqa,456,0.5,9827,29.1,1716.6263,28.6
ablation_a_qwen3-vl-2b_pathvqa_ratio1.0_seed123,qwen3-vl-2b,pathvqa,123,1.0,19654,28.7,1693.6833,28.2
ablation_a_qwen3-vl-2b_pathvqa_ratio1.0_seed42,qwen3-vl-2b,pathvqa,42,1.0,19654,369.6,1662.3549,27.7
ablation_a_qwen3-vl-2b_pathvqa_ratio1.0_seed456,qwen3-vl-2b,pathvqa,456,1.0,19654,28.2,1667.9893,27.8
ablation_b_qwen3-vl-2b_pathvqa_rank16_seed123,qwen3-vl-2b,pathvqa,123,,19654,31.6,1867.032,31.1
ablation_b_qwen3-vl-2b_pathvqa_rank16_seed42,qwen3-vl-2b,pathvqa,42,,19654,32.0,1892.6122,31.5
ablation_b_qwen3-vl-2b_pathvqa_rank16_seed456,qwen3-vl-2b,pathvqa,456,,19654,31.7,1869.9256,31.2
ablation_b_qwen3-vl-2b_pathvqa_rank32_seed123,qwen3-vl-2b,pathvqa,123,,19654,30.9,1826.8361,30.4
ablation_b_qwen3-vl-2b_pathvqa_rank32_seed42,qwen3-vl-2b,pathvqa,42,,19654,31.2,1845.3952,30.8
ablation_b_qwen3-vl-2b_pathvqa_rank32_seed456,qwen3-vl-2b,pathvqa,456,,19654,31.9,1882.994,31.4
ablation_b_qwen3-vl-2b_pathvqa_rank4_seed123,qwen3-vl-2b,pathvqa,123,,19654,33.1,1951.0246,32.5
ablation_b_qwen3-vl-2b_pathvqa_rank4_seed42,qwen3-vl-2b,pathvqa,42,,19654,32.7,1929.8955,32.2
ablation_b_qwen3-vl-2b_pathvqa_rank4_seed456,qwen3-vl-2b,pathvqa,456,,19654,32.4,1915.8865,31.9
ablation_b_qwen3-vl-2b_pathvqa_rank64_seed123,qwen3-vl-2b,pathvqa,123,,19654,31.0,1829.7256,30.5
ablation_b_qwen3-vl-2b_pathvqa_rank64_seed42,qwen3-vl-2b,pathvqa,42,,19654,31.1,1835.9909,30.6
ablation_b_qwen3-vl-2b_pathvqa_rank64_seed456,qwen3-vl-2b,pathvqa,456,,19654,31.2,1842.4142,30.7
ablation_b_qwen3-vl-2b_pathvqa_rank8_seed123,qwen3-vl-2b,pathvqa,123,,19654,32.5,1920.3913,32.0
ablation_b_qwen3-vl-2b_pathvqa_rank8_seed42,qwen3-vl-2b,pathvqa,42,,19654,32.9,1948.4788,32.5
ablation_b_qwen3-vl-2b_pathvqa_rank8_seed456,qwen3-vl-2b,pathvqa,456,,19654,31.6,1868.0039,31.1
ablation_c_qwen3-vl-2b_pathvqa_full_seed123,qwen3-vl-2b,pathvqa,123,,19654,36.7,2173.0453,36.2
ablation_c_qwen3-vl-2b_pathvqa_full_seed42,qwen3-vl-2b,pathvqa,42,,19654,37.0,2193.062,36.6
ablation_c_qwen3-vl-2b_pathvqa_full_seed456,qwen3-vl-2b,pathvqa,456,,19654,36.8,2179.7137,36.3
ablation_c_qwen3-vl-2b_pathvqa_medium_seed123,qwen3-vl-2b,pathvqa,123,,19654,31.5,1862.8562,31.0
ablation_c_qwen3-vl-2b_pathvqa_medium_seed42,qwen3-vl-2b,pathvqa,42,,19654,31.4,1859.0085,31.0
ablation_c_qwen3-vl-2b_pathvqa_medium_seed456,qwen3-vl-2b,pathvqa,456,,19654,31.5,1862.9459,31.0
ablation_c_qwen3-vl-2b_pathvqa_minimal_seed123,qwen3-vl-2b,pathvqa,123,,19654,28.4,1677.5855,28.0
ablation_c_qwen3-vl-2b_pathvqa_minimal_seed42,qwen3-vl-2b,pathvqa,42,,19654,29.0,1707.6575,28.5
ablation_c_qwen3-vl-2b_pathvqa_minimal_seed456,qwen3-vl-2b,pathvqa,456,,19654,28.3,1670.6203,27.8
gemma4-e2b_pathvqa_seed123,gemma4-e2b,pathvqa,123,,19654,50.7,3017.0848,50.3
gemma4-e2b_pathvqa_seed42,gemma4-e2b,pathvqa,42,,19654,50.7,3012.9132,50.2
gemma4-e2b_pathvqa_seed456,gemma4-e2b,pathvqa,456,,19654,51.8,3082.4618,51.4
gemma4-e2b_slake_seed123,gemma4-e2b,slake,123,,4919,53.6,3190.3216,53.2
gemma4-e2b_slake_seed42,gemma4-e2b,slake,42,,4919,77.7,3275.4304,54.6
gemma4-e2b_slake_seed456,gemma4-e2b,slake,456,,4919,53.3,3171.1206,52.9
gemma4-e2b_vqa_rad_seed123,gemma4-e2b,vqa_rad,123,,1614,50.4,2996.9097,49.9
gemma4-e2b_vqa_rad_seed42,gemma4-e2b,vqa_rad,42,,1614,50.6,3010.6011,50.2
gemma4-e2b_vqa_rad_seed456,gemma4-e2b,vqa_rad,456,,1614,50.2,2985.2809,49.8
qwen25-vl-3b_pathvqa_seed123,qwen25-vl-3b,pathvqa,123,,19654,45.7,2713.9199,45.2
qwen25-vl-3b_pathvqa_seed42,qwen25-vl-3b,pathvqa,42,,19654,395.4,2691.909,44.9
qwen25-vl-3b_pathvqa_seed456,qwen25-vl-3b,pathvqa,456,,19654,45.5,2701.0723,45.0
qwen25-vl-3b_slake_seed123,qwen25-vl-3b,slake,123,,4919,47.8,2834.6106,47.2
qwen25-vl-3b_slake_seed42,qwen25-vl-3b,slake,42,,4919,48.1,2857.6288,47.6
qwen25-vl-3b_slake_seed456,qwen25-vl-3b,slake,456,,4919,47.2,2804.7701,46.7
qwen25-vl-3b_vqa_rad_seed123,qwen25-vl-3b,vqa_rad,123,,1614,47.1,2796.431,46.6
qwen25-vl-3b_vqa_rad_seed42,qwen25-vl-3b,vqa_rad,42,,1614,72.1,2754.9869,45.9
qwen25-vl-3b_vqa_rad_seed456,qwen25-vl-3b,vqa_rad,456,,1614,46.7,2775.95,46.3
qwen3-vl-2b_pathvqa_seed123,qwen3-vl-2b,pathvqa,123,,19654,29.1,1720.1441,28.7
qwen3-vl-2b_pathvqa_seed42,qwen3-vl-2b,pathvqa,42,,19654,29.2,1710.4624,28.5
qwen3-vl-2b_pathvqa_seed456,qwen3-vl-2b,pathvqa,456,,19654,28.4,1677.716,28.0
qwen3-vl-2b_slake_seed123,qwen3-vl-2b,slake,123,,4919,27.2,1603.8171,26.7
qwen3-vl-2b_slake_seed42,qwen3-vl-2b,slake,42,,4919,96.5,1590.2305,26.5
qwen3-vl-2b_slake_seed456,qwen3-vl-2b,slake,456,,4919,26.9,1589.7998,26.5
qwen3-vl-2b_vqa_rad_seed123,qwen3-vl-2b,vqa_rad,123,,1614,27.4,1616.5182,26.9
qwen3-vl-2b_vqa_rad_seed42,qwen3-vl-2b,vqa_rad,42,,1614,28.0,1652.4426,27.5
qwen3-vl-2b_vqa_rad_seed456,qwen3-vl-2b,vqa_rad,456,,1614,27.8,1641.9861,27.4
smolvlm2-2b_pathvqa_seed123,smolvlm2-2b,pathvqa,123,,19654,96.0,5736.749,95.6
smolvlm2-2b_pathvqa_seed42,smolvlm2-2b,pathvqa,42,,19654,96.7,5778.7073,96.3
