strategy,trial_index,median,q1,q3,n
manual,1,0.377,0.376,0.3795,10
random,1,0.337,0.3325,0.367,10
random,2,0.375,0.346,0.387,10
random,3,0.388,0.3745,0.394,10
random,4,0.394,0.382,0.4025,10
random,5,0.395,0.382,0.4025,10
random,6,0.395,0.383,0.4025,10
random,7,0.395,0.386,0.4025,10
random,8,0.395,0.394,0.4025,10
random,9,0.395,0.394,0.4075,10
random,10,0.396,0.394,0.409,10
random,11,0.403,0.3945,0.4095,10
random,12,0.404,0.397,0.4095,10
random,13,0.407,0.4025,0.41,10
random,14,0.407,0.4045,0.41,10
random,15,0.407,0.4045,0.41,10
random,16,0.407,0.4045,0.413,10
random,17,0.41,0.406,0.4155,10
random,18,0.415,0.407,0.425,10
random,19,0.415,0.407,0.425,10
random,20,0.415,0.407,0.425,10
optuna,1,0.362,0.3445,0.3895,10
optuna,2,0.392,0.379,0.3995,10
optuna,3,0.392,0.389,0.4015,10
optuna,4,0.4,0.3935,0.402,10
optuna,5,0.401,0.3985,0.402,10
optuna,6,0.401,0.3985,0.4055,10
optuna,7,0.401,0.3985,0.4055,10
optuna,8,0.405,0.4005,0.4265,10
optuna,9,0.406,0.404,0.4265,10
optuna,10,0.406,0.404,0.4265,10
optuna,11,0.406,0.404,0.4265,10
optuna,12,0.422,0.406,0.437,10
optuna,13,0.435,0.4115,0.444,10
optuna,14,0.44,0.4115,0.4485,10
optuna,15,0.443,0.4315,0.45,10
optuna,16,0.443,0.4315,0.45,10
optuna,17,0.443,0.4315,0.45,10
optuna,18,0.449,0.4425,0.459,10
optuna,19,0.455,0.4425,0.46,10
optuna,20,0.455,0.4425,0.46,10
autoresearch,1,0.378,0.3765,0.3795,10
autoresearch,2,0.396,0.394,0.399,10
autoresearch,3,0.4,0.3965,0.402,10
autoresearch,4,0.401,0.3985,0.402,10
autoresearch,5,0.401,0.3985,0.402,10
autoresearch,6,0.401,0.4,0.402,10
autoresearch,7,0.402,0.4,0.402,10
autoresearch,8,0.402,0.4,0.406,10
autoresearch,9,0.402,0.4,0.406,10
autoresearch,10,0.402,0.4,0.406,10
autoresearch,11,0.402,0.4005,0.406,10
autoresearch,12,0.403,0.402,0.409,10
autoresearch,13,0.404,0.402,0.409,10
autoresearch,14,0.406,0.402,0.409,10
autoresearch,15,0.406,0.402,0.409,10
autoresearch,16,0.406,0.402,0.416,10
autoresearch,17,0.406,0.4025,0.425,10
autoresearch,18,0.406,0.4025,0.426,10
autoresearch,19,0.406,0.4025,0.426,10
autoresearch,20,0.406,0.404,0.4305,10
