trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
0	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.0	0.0	0.0	0.0	137.4	0.0	failed	[WinError 5] 액세스가 거부되었습니다: 'data\\_chat_cache\\.tmp-qwen_pathvqa_validation-34640' -> 'data\\_chat_cache\\qwen_pathvqa_validation'			0.0
1	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
2	optuna	0	64	64	0.000346	4	16	0.0748	0.0595	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
3	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
4	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
5	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
6	optuna	0	32	32	5.8e-05	1	16	0.0278	0.0795	medium	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
7	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
8	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.4426	0.7885	0.0962	0.843446695804596	25.1	4346.5	completed				0.0
9	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	60.1	0.0	failed	Unable to allocate 2.09 MiB for an array with shape (532, 1372, 3) and data type uint8			0.0
10	random	0	64	256	0.000139	4	16	0.0936	0.0189	full	200	0.5815	0.8908	0.2717	0.5927258133888245	64.6	4822.0	completed				0.0
11	optuna	0	32	32	0.000401	1	16	0.04	0.0315	minimal	200	0.4839	0.8198	0.1475	0.7763199043273926	39.4	5010.3	completed				0.0
12	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.3807	0.682	0.0789	0.884247522354126	21.1	5590.7	completed				0.0
